Nombre;PrimerApellido;SegundoApellido;RUT;Genero;FechaNacimiento;Correo;Numero;Region;Comuna
Elena;Sanchez;Ortiz;28981130-4;Femenino;"""05-12-1972""";elena.sanchez@example.com;9487118046;Magallanes;Primavera
Juan;Vega;Ramirez;28928996-0;Masculino;"""25-01-1983""";juan.vega@example.com;9448630697;Maule;Linares
Elena;Fernandez;Suarez;21491452-9;Masculino;"""28-04-1969""";elena.fernandez@example.com;9124444556;Magallanes;Cabo de Hornos
Laura;Gomez;Mendoza;23802023-0;Femenino;"""21-03-1975""";laura.gomez@example.com;9598853702;Tarapaca;Huara
Laura;Vega;Ramos;11555185-6;Femenino;"""11-12-1967""";laura.vega@example.com;9930497656;Los Lagos;Osorno
Pedro;Perez;Ramos;12375399-3;Masculino;"""25-01-1981""";pedro.perez@example.com;9606822619;Los Lagos;Castro
Laura;Vega;Ramos;17501420-2;Masculino;"""01-05-1986""";laura.vega@example.com;9381201940;Aysen;Cochrane
Laura;Vega;Castro;16375782-6;Femenino;"""08-06-1992""";laura.vega@example.com;9853816013;Aysen;Chile Chico
Ana;Perez;Hernandez;17629284-4;Femenino;"""12-04-1992""";ana.perez@example.com;9470540963;Nuble;San Carlos
Ana;Lopez;Suarez;19937735-3;Femenino;"""07-02-1999""";ana.lopez@example.com;9347030861;Nuble;Bulnes
Carlos;Fernandez;Castro;18523400-9;Femenino;"""13-01-2004""";carlos.fernandez@example.com;9940167489;Coquimbo;Ovalle
Laura;Perez;Suarez;29766744-5;Femenino;"""18-02-1987""";laura.perez@example.com;9627608004;Los Rios;Paillaco
Sofia;Perez;Mendoza;29102500-0;Masculino;"""18-02-1966""";sofia.perez@example.com;9925679490;OHiggins;San Fernando
Miguel;Vega;Silva;20463987-0;Masculino;"""15-10-1974""";miguel.vega@example.com;9397896089;Nuble;Bulnes
Juan;Gomez;Silva;27483685-0;Femenino;"""26-11-1997""";juan.gomez@example.com;9532402173;Araucania;Pucon
Laura;Lopez;Hernandez;20119802-7;Femenino;"""20-02-1982""";laura.lopez@example.com;9762770878;Los Lagos;Castro
Miguel;Perez;Hernandez;23024031-1;Masculino;"""22-06-1968""";miguel.perez@example.com;9410756363;Biobio;Los Angeles
Carlos;Gomez;Rodriguez;28819211-5;Femenino;"""24-02-2000""";carlos.gomez@example.com;9462225205;Antofagasta;Antofagasta
Sofia;Diaz;Silva;28459754-4;Femenino;"""20-07-1991""";sofia.diaz@example.com;9169167807;Valparaiso;San Antonio
Luis;Gomez;Castro;16782279-7;Femenino;"""13-10-2003""";luis.gomez@example.com;9270840892;Aysen;Chile Chico
Pedro;Morales;Hernandez;23324459-2;Femenino;"""08-12-1988""";pedro.morales@example.com;9117330840;Coquimbo;Illapel
Juan;Garcia;Suarez;24202819-4;Femenino;"""22-09-1982""";juan.garcia@example.com;9509796928;Nuble;San Carlos
Luis;Garcia;Ramirez;19496779-1;Masculino;"""20-11-1979""";luis.garcia@example.com;9232527904;Aysen;Coyhaique
